Rank,Username,Categories,Suscribers,Country,Visits,Likes,Comments,Links
50,abscbnentertainment,,45000000.0,Filipinas,6100.0,180.0,2.0,http://youtube.com/channel/UCstEtN0pgOmCf02EdXsGChw
51,vcsabiavideos,,45000000.0,Brasil,665700.0,39800.0,593.0,http://youtube.com/channel/UCj0O6W8yDuLg3iraAXKgCrQ
52,BRIGHTSIDEOFFICIAL,,44600000.0,Estados Unidos,22700.0,430.0,21.0,http://youtube.com/channel/UC4rlAVgAK0SGk-yTfe48Qpw
53,KatyPerry,Música y baile,44400000.0,Unknown,101400.0,7500.0,177.0,http://youtube.com/channel/UCYvmuw-JtVrTZQ-7Y4kd63Q
54,Shakira,Videojuegos,44400000.0,Estados Unidos,102100.0,8200.0,210.0,http://youtube.com/channel/UCYLNGLIzMhRTi6ZOLjAPSmw
55,whindersson,"Música y baile, Animación",44400000.0,Brasil,174600.0,35700.0,154.0,http://youtube.com/channel/UC3KQ5GWANYF8lChqjZpXsQw
56,MashaBearRUSSIAN,,44200000.0,Unknown,664500.0,5700.0,0.0,http://youtube.com/channel/UCRv76wLBC73jiP7LX4C3l8Q
57,Alanwalkermusic,"Música y baile, Películas",44000000.0,Estados Unidos,124700.0,8200.0,205.0,http://youtube.com/channel/UCJrOtniJ0-NWz37R30urifQ
58,MashaBearEN,"Películas, Animación",43700000.0,Unknown,856200.0,7500.0,0.0,http://youtube.com/channel/UCu59yAFE8fM0sVNTipR4edw
59,Mikecrack,"Películas, Animación",43400000.0,México,2200000.0,183400.0,1800.0,http://youtube.com/channel/UCqJ5zFEED1hWs0KNQCQuYdQ
60,toysandcolors,"Películas, Juguetes",42900000.0,Unknown,2000000.0,4600.0,0.0,http://youtube.com/channel/UCgFXm4TI8htWmCyJ6cVPG_A
61,speedrecords,Música y baile,42900000.0,India,21100.0,1100.0,30.0,http://youtube.com/channel/UCOsyDsO5tIt-VZ1iwjdQmew
62,LikeNastya_Show,"Películas, Juguetes",42500000.0,Unknown,972200.0,2400.0,0.0,http://youtube.com/channel/UCS94J1s6-qc8v7btCdS2pNg
63,KimberlyLoaiza,Música y baile,42100000.0,México,5300000.0,271300.0,16000.0,http://youtube.com/channel/UCQZfFRohQ7UX-0CdXl-6pwQ
64,IshtarMusic,Música y baile,42100000.0,India,32600.0,994.0,9.0,http://youtube.com/channel/UCWi_65E_L8tQZ34C6wVAlpQ
65,luisitocomunica,,41100000.0,México,2500000.0,128900.0,1800.0,http://youtube.com/channel/UCECJDeK0MNapZbpaOzxrUPA
66,LittleBabyBum,"Animación, Juguetes",41000000.0,Unknown,99000.0,184.0,0.0,http://youtube.com/channel/UCKAqou7V9FAWXpZd9xtOg3Q
67,shfa2,"Animación, Juguetes",40600000.0,Unknown,585500.0,4800.0,0.0,http://youtube.com/channel/UCQ7x25F6YXY9DvGeHFxLhRQ
68,CarryMinati,"Películas, Humor",40300000.0,India,0.0,0.0,0.0,http://youtube.com/channel/UCj22tfcQrWG7EMEKS0qLeEg
69,luccastoon,"Películas, Animación",40100000.0,Brasil,588600.0,13100.0,0.0,http://youtube.com/channel/UC_gV70G_Y51LTa3qhu8KiEA
70,SuperSimpleSongs,Música y baile,39900000.0,Unknown,648400.0,10100.0,0.0,http://youtube.com/channel/UCLsooMJoIpl_7ux2jvdPB-Q
71,JessNoLimit,"Películas, Animación",39600000.0,Indonesia,1300000.0,73500.0,1600.0,http://youtube.com/channel/UCvh1at6xpV1ytYOAzxmqUsA
72,xxxtentacion,Música y baile,39500000.0,Estados Unidos,225700.0,28500.0,2900.0,http://youtube.com/channel/UCM9r1xn6s30OnlJWb-jc3Sw
73,SonyPAL,,39500000.0,India,21800.0,255.0,9.0,http://youtube.com/channel/UCw7xjxzbMwgBSmbeYwqYRMg
74,WorkpointOfficial,,39400000.0,Tailandia,6200.0,157.0,1.0,http://youtube.com/channel/UC3ZkCd7XtUREnjjt3cyY_gg
75,gr6explode,Música y baile,39300000.0,Brasil,120300.0,5700.0,236.0,http://youtube.com/channel/UCNUQK9mQoqi4yNXw2_Rj6SA
76,TEDx,,39100000.0,Estados Unidos,160.0,3.0,0.0,http://youtube.com/channel/UCsT0YIqwnpJCM-mx7-gSA4Q
77,GaaneSuneAnsune,Música y baile,39100000.0,India,28800.0,211.0,9.0,http://youtube.com/channel/UCtW7qWjpCZ8zps-Cf2NF26w
78,shfa-1,Vlogs diarios,39100000.0,Francia,5300000.0,57300.0,0.0,http://youtube.com/channel/UCwHE1kM1CPJd_pI9FQ0-4dg
79,vladvaniki1,"Películas, Humor",38700000.0,Unknown,890600.0,3400.0,0.0,http://youtube.com/channel/UCcOMTVILq-yIqtFmOqt-QOg
80,TheEllenShow,,38300000.0,Estados Unidos,26000.0,433.0,22.0,http://youtube.com/channel/UCp0hYYBW6IMayGgR-WeoCvQ
81,DaddyYankee,Música y baile,38300000.0,Colombia,82800.0,6500.0,123.0,http://youtube.com/channel/UC9TO_oo4c_LrOiKNaY6aysA
82,LikeNastya_ESP,,38100000.0,Unknown,403800.0,1800.0,0.0,http://youtube.com/channel/UCpEJRZdSpdVZ8vh63T9I2KQ
83,one31official,,38100000.0,Tailandia,4800.0,122.0,1.0,http://youtube.com/channel/UC8f7MkX4MFOOJ2SerXLInCA
84,ABPNEWS,,38100000.0,India,2400.0,59.0,0.0,http://youtube.com/channel/UCRWFSbif-RFENbBrSiez1DA
85,MariaClaraeJP,"Películas, Animación",37700000.0,Unknown,1700000.0,10800.0,0.0,http://youtube.com/channel/UCKe6w0exI94U-RzqAyoY1VA
86,YouTube,,37500000.0,Estados Unidos,101200.0,3400.0,364.0,http://youtube.com/channel/UCBR8-60-B28hp2BmDPdntcQ
87,PowerKidstv,"Películas, Animación",37400000.0,India,41700.0,0.0,0.0,http://youtube.com/channel/UCj-SWZSE0AmotGSQ3apROHw
88,Jkk_Entertainment,,37300000.0,India,2300000.0,20100.0,363.0,http://youtube.com/channel/UC5tuYcCdiKuF5Y2ZonuarwA
89,UltraBollywood,,37300000.0,India,24300.0,185.0,10.0,http://youtube.com/channel/UCmL1WlDI8UkXDXCXcBQN9CA
90,SaregamaMusic,Películas,37000000.0,India,27300.0,703.0,26.0,http://youtube.com/channel/UC_A7K2dXFsTMAciGmnNxy-Q
91,RicisOfficial1795,"Música y baile, Películas",36900000.0,Indonesia,343800.0,27500.0,357.0,http://youtube.com/channel/UC4tS4Q_Cno5JVcIUXxQOOpA
92,beterbocuk,,36800000.0,India,1000000.0,54100.0,214.0,http://youtube.com/channel/UC6gVx_vALsYT-z_u1djJbBQ
93,IndiaTV,Noticias y Política,36700000.0,India,14300.0,255.0,3.0,http://youtube.com/channel/UCttspZesZIDEwwpVIgoZtWQ
94,LaGranjaDeZenon,"Música y baile, Animación",36600000.0,Unknown,599800.0,5200.0,0.0,http://youtube.com/channel/UCwpcLKMwiuPg4aqImpGk6Ew
95,tseriesoldisgold,Música y baile,36500000.0,India,41100.0,1200.0,8.0,http://youtube.com/channel/UCRm96I5kmb_iGFofE5N691w
96,Ozuna,Música y baile,36300000.0,Estados Unidos,22700.0,2400.0,76.0,http://youtube.com/channel/UCjIA3wwhi0QjSOXAZwOXbPA
97,TotalGaming093,"Películas, Videojuegos",36300000.0,India,1500000.0,129400.0,4900.0,http://youtube.com/channel/UC5c9VlYTSvBSCaoMu_GI6gQ
98,GenevievesPlayhouse,Juguetes,35700000.0,Unknown,965500.0,824.0,0.0,http://youtube.com/channel/UCK5Q72Uyo73uRPk8PmM2A3w
99,TechnoGamerzOfficial,,35600000.0,India,6200000.0,341800.0,16500.0,http://youtube.com/channel/UCX8pnu3DYUnx8qy8V_c6oHg
100,RyansWorld,"Videojuegos, Juguetes",35500000.0,Unknown,326500.0,2000.0,0.0,http://youtube.com/channel/UChGJGhZ9SOOHvBB0Y4DOO_w
101,markiplier,"Animación, Videojuegos",35500000.0,Estados Unidos,2100000.0,126500.0,3800.0,http://youtube.com/channel/UC7_YxT-KID8kRbqZo7MyscQ
102,tseriesapnapunjab,Música y baile,35000000.0,India,23300.0,601.0,27.0,http://youtube.com/channel/UCcvNYxWXR_5TjVK7cSCdW-g
103,JingleToons,,35000000.0,India,111400.0,641.0,0.0,http://youtube.com/channel/UCK9F8nycURBsR0YlrBsu1Ag
104,thedonato,,34700000.0,México,710700.0,42400.0,541.0,http://youtube.com/channel/UCaHEdZtk6k7SVP-umnzifmQ
105,YOLOAVENTURAS,"Películas, Animación",34600000.0,México,1100000.0,73600.0,0.0,http://youtube.com/channel/UCOnIJiQuk1fDSp6p1GCZy3A
106,GeetMP3,Música y baile,34500000.0,India,0.0,0.0,0.0,http://youtube.com/channel/UClZF7OsrECe3t_ADrjZEh_Q
107,Rajshri,,34200000.0,India,13700.0,119.0,4.0,http://youtube.com/channel/UCEKWXRsfUHkan-D_ljU8Asw
108,starplus,,34200000.0,India,10500.0,267.0,6.0,http://youtube.com/channel/UC-LPIU24bQXVljUXivKEeRQ
109,jbalvin,"Animación, Videojuegos",34200000.0,Colombia,16900.0,1600.0,60.0,http://youtube.com/channel/UCt-k6JwNWHMXDBGm9IYHdsg
110,SSSniperWolf,"Animación, Humor",34200000.0,Estados Unidos,1200000.0,34600.0,2100.0,http://youtube.com/channel/UCpB959t8iPrxQWj7G6n0ctQ
111,Ch3Thailand,,34000000.0,Tailandia,34500.0,442.0,8.0,http://youtube.com/channel/UC48h7Dst_hX82HxOf3xJw_w
112,vegetta777,"Películas, Animación",34000000.0,México,249900.0,19400.0,209.0,http://youtube.com/channel/UCam8T03EOFBsNdR0thrFHdQ
113,NoCopyrightSounds,Música y baile,33600000.0,Estados Unidos,191100.0,6900.0,363.0,http://youtube.com/channel/UC_aEa8K-EOJ3D6gOs7HcyNg
114,KHANDESHIMOVIES,,33600000.0,India,758300.0,6200.0,136.0,http://youtube.com/channel/UCP84QWij0alw4MvzqzyfOnw
115,babybus,"Animación, Juguetes",33299999.999999996,Unknown,267300.0,623.0,0.0,http://youtube.com/channel/UCpYye8D5fFMUPf9nSfgd4bA
116,DisneyMusicVEVO,"Música y baile, Películas",33200000.000000004,Estados Unidos,276900.0,3200.0,198.0,http://youtube.com/channel/UCgwv23FVv3lqh567yagXfNg
117,KarolG,Música y baile,33000000.0,Colombia,74000.0,2700.0,165.0,http://youtube.com/channel/UCZuPJZ2kGFdlbQu1qotZaHw
118,WowKidz1,"Animación, Humor",33000000.0,Unknown,17200.0,88.0,0.0,http://youtube.com/channel/UCN8S4CqMRy6tVKVXvs7Bzeg
119,PANDABOI,,33000000.0,India,2500000.0,66600.0,183.0,http://youtube.com/channel/UC0Wju2yvRlfwqraLlz5152Q
120,erosentertainment,Películas,33000000.0,India,7100.0,93.0,5.0,http://youtube.com/channel/UCX52tYZiEh_mHoFja3Veciw
121,gmanetwork,,32900000.0,Filipinas,2600.0,83.0,1.0,http://youtube.com/channel/UCKL5hAuzgFQsyrsQKgU0Qng
122,LucasandMarcus,"Animación, Humor",32799999.999999996,Estados Unidos,706100.0,23300.0,504.0,http://youtube.com/channel/UCwD4x63A9KC7Si2RuSfg-SA
123,AboFlah,"Animación, Videojuegos",32700000.000000004,Iraq,3300000.0,382000.0,11400.0,http://youtube.com/channel/UCqq5n-Oe-r1EEHI3yvhVJcA
124,MRINDIANHACKER,,32600000.0,India,6500000.0,617400.0,26000.0,http://youtube.com/channel/UCSiDGb0MnHFGjs4E2WKvShw
125,FrostDiamond,"Películas, Animación",32600000.0,Indonesia,316200.0,13200.0,386.0,http://youtube.com/channel/UC4hGmH5sABOA70D4fGb8qNQ
126,MrBean,"Películas, Humor",32400000.0,India,204400.0,1800.0,73.0,http://youtube.com/channel/UCkAGrHCLFmlK3H2kd6isipg
127,WorldwideRecordsBhojpuri,Música y baile,32200000.000000004,India,44200.0,1600.0,29.0,http://youtube.com/channel/UCbomPUMyPHCgrqD5iYnzj1A
128,rezendeevil,Películas,32200000.000000004,Brasil,413400.0,15600.0,153.0,http://youtube.com/channel/UCbTVTephX30ZhQF5zwFppBg
129,SMTOWN,Música y baile,32200000.000000004,Estados Unidos,132300.0,12700.0,505.0,http://youtube.com/channel/UCEf_Bc-KVd7onSeifS3py9g
130,PeppaPigOfficial,Juguetes,32200000.000000004,Unknown,110200.0,508.0,0.0,http://youtube.com/channel/UCAOtE1V7Ots4DjM8JLlrYgg
131,zeenews,Noticias y Política,32100000.0,India,14700.0,231.0,6.0,http://youtube.com/channel/UCIvaYmXn910QMdemBG3v1pQ
132,fedevigevani,"Animación, Humor",32000000.0,México,7700000.0,412200.0,17000.0,http://youtube.com/channel/UCoQm-PeHC-cbJclKJYJ8LzA
133,dream,"Animación, Videojuegos",31900000.0,Estados Unidos,3300000.0,309200.0,19000.0,http://youtube.com/channel/UCTkXRDQl0luXxVQrRQvWS6w
134,GENIALBrightSideSpanish,Animación,31800000.0,México,15500.0,524.0,21.0,http://youtube.com/channel/UCbrd1vu4_7qIE6IPV_dA-OA
135,luisfonsi,,31600000.0,Estados Unidos,20800.0,1400.0,67.0,http://youtube.com/channel/UCxoq-PAQeAdk_zyg8YS0JqA
136,zhong,,31400000.0,Estados Unidos,2900000.0,118300.0,887.0,http://youtube.com/channel/UCyagEfIN1okQ-s996XAqCFQ
137,MrBeast2,Vlogs diarios,31300000.0,Estados Unidos,83100000.0,5000000.0,11600.0,http://youtube.com/channel/UC4-79UOlP48-QNGgCko5p2g
138,fallontonight,,31200000.0,Estados Unidos,263100.0,3900.0,116.0,http://youtube.com/channel/UC8-Th83bH_thdKZDJCrn88g
139,dianaandromaesp331,"Animación, Juguetes",31100000.0,Unknown,403500.0,714.0,0.0,http://youtube.com/channel/UCqNmJfc7RgMU6hTxOOuCYHQ
140,ShortsBreak_Official,,31000000.0,India,8600000.0,503400.0,704.0,http://youtube.com/channel/UCgJ5_1F6yJhYLnyMszUdmUg
141,ImagineDragons,Música y baile,31000000.0,Estados Unidos,77100.0,10700.0,217.0,http://youtube.com/channel/UCT9zcQNlyht7fRlcjmflRSA
142,vladnikihindi,,30900000.0,Unknown,897100.0,3400.0,0.0,http://youtube.com/channel/UCUMxxg0KvWiSWHUXRPpnKzw
143,AttaHalilintar,"Música y baile, Películas",30600000.0,Indonesia,155300.0,7600.0,108.0,http://youtube.com/channel/UCaKLg1ELiX0zTJ6Je3c5esA
144,enaldinho,Películas,30600000.0,Brasil,1800000.0,63400.0,838.0,http://youtube.com/channel/UC2bYhAHyaqfWlPXWBVk4BcA
145,toyoraljanahtv,Música y baile,30600000.0,Unknown,131100.0,0.0,0.0,http://youtube.com/channel/UCozAuGJZ5MPoijz8IE_1Gtw
146,jacksepticeye,"Animación, Humor",30400000.0,Estados Unidos,1600000.0,83400.0,2300.0,http://youtube.com/channel/UCYzPXprvl5Y-Sf0g4vX-m6g
147,TrapNation,Música y baile,30400000.0,Estados Unidos,47800.0,1600.0,60.0,http://youtube.com/channel/UCa10nxShhzNrCE1o2ZOPztg
148,LittleAngel,"Animación, Juguetes",30400000.0,Unknown,394800.0,209.0,0.0,http://youtube.com/channel/UCNzsYU0aWwjERj-9Y9HUEng
149,TalkingTom,"Películas, Animación",30400000.0,Estados Unidos,201300.0,798.0,0.0,http://youtube.com/channel/UCm3hAp1m1xlAz0ve_EKAo4g
150,spinninrecords,Música y baile,30200000.0,Estados Unidos,31900.0,1200.0,33.0,http://youtube.com/channel/UCpDJl2EmP7Oh90Vylx0dZtA
151,HUMTV,,30200000.0,Pakistán,1100.0,7.0,0.0,http://youtube.com/channel/UCEeEQxm6qc_qaTE7qTV5aLQ
152,Dushyant_kukreja,,30000000.0,India,5900000.0,231000.0,485.0,http://youtube.com/channel/UCo6y9hnRawAqtyWhRhblXqg
153,KLBROBijuRithvik1,,29900000.0,India,1600000.0,49800.0,309.0,http://youtube.com/channel/UCL5nlHWXVLeOsSjKH2fhmsg
154,DaFuqBoom,"Animación, Humor",29800000.0,Estados Unidos,52700000.0,1700000.0,82800.0,http://youtube.com/channel/UCsSsgPaZ2GSmO6il8Cb5iGA
155,ultrarecords,Música y baile,29800000.0,Estados Unidos,15800.0,607.0,21.0,http://youtube.com/channel/UC4rasfm9J-X4jNl9SvXp8xA
156,zamzamelectronicstradingllc,,29700000.0,India,268700.0,18400.0,489.0,http://youtube.com/channel/UCrnQFuUabBHaw-BRhPo8xEA
157,AlanChikinChow,"Música y baile, Humor",29700000.0,India,3600000.0,106500.0,428.0,http://youtube.com/channel/UC5gxP-2QqIh_09djvlm9Xcg
158,infobellstamilrhymes,Educación,29500000.0,Unknown,1200000.0,17700.0,0.0,http://youtube.com/channel/UCHcn4Ux-sO9nzNu7rDsoQLg
159,Maluma_Official,Música y baile,29400000.0,Colombia,226400.0,8500.0,275.0,http://youtube.com/channel/UClZuKq2m0Qu-HkopkSBLpEw
160,infobellstelugurhymes,Educación,29400000.0,Unknown,271400.0,5600.0,0.0,http://youtube.com/channel/UCHvoq_rGmOKJKGId1nD1V4Q
161,adityamovies,,29400000.0,India,26600.0,1000.0,8.0,http://youtube.com/channel/UCX_uPA_dGf7wXjuMEaSKLJA
162,MashaOso,,29300000.0,Unknown,543200.0,5700.0,0.0,http://youtube.com/channel/UCuSo4gcgxJRf4Bzu43wwVyg
163,shemaroomovies,,29200000.0,India,24100.0,242.0,9.0,http://youtube.com/channel/UCBOmfqgTZi7yDp4-3Lr_3lA
164,gulshankalra07,,29200000.0,India,8100000.0,431100.0,1100.0,http://youtube.com/channel/UC56dNUTok1pgvpY75CsJQ4Q
165,junya1gou,,29000000.0,Japón,195000.0,924.0,34.0,http://youtube.com/channel/UCjp_3PEaOau_nT_3vnqKIvg
166,adityamusic,Música y baile,28800000.0,India,28200.0,568.0,14.0,http://youtube.com/channel/UCNApqoVYJbYSrni4YsbXzyQ
167,MichaelJackson,,28800000.0,Estados Unidos,227300.0,9100.0,0.0,http://youtube.com/channel/UC5OrDvL9DscpcAstz7JnQGA
168,GoldminesDishoom,"Películas, Videojuegos",28700000.0,Unknown,14100.0,167.0,0.0,http://youtube.com/channel/UCu7Hg0f3rxqZ6qs-188ZbjQ
169,DrakeOfficial,,28400000.0,Estados Unidos,0.0,0.0,0.0,http://youtube.com/channel/UCByOQJjav0CUDwxCk-jVNRQ
170,KidsRomaShow,"Animación, Juguetes",28200000.0,Unknown,1200000.0,3100.0,0.0,http://youtube.com/channel/UCx790OVgpTC1UVBQIqu3gnQ
171,toycantando,"Música y baile, Animación",28100000.0,Unknown,426400.0,11700.0,0.0,http://youtube.com/channel/UC2xjgvWb9cx5F637XjsUNxw
172,SandeepSeminars,Vlogs diarios,28000000.0,India,1200000.0,58500.0,4000.0,http://youtube.com/channel/UCBqFKDipsnzvJdt6UT0lMIg
173,LankyBox,"Animación, Videojuegos",28000000.0,Estados Unidos,346500.0,6300.0,200.0,http://youtube.com/channel/UCSf0s2ogUVYpJPuzW1zpAOg
174,bouncepatrol,Música y baile,27900000.0,Unknown,339300.0,6600.0,0.0,http://youtube.com/channel/UC56cowXhoqRWHeqfSJkIQaA
175,JYPEntertainment,Música y baile,27800000.0,Estados Unidos,177700.0,8700.0,668.0,http://youtube.com/channel/UCaO6TYtlC8U5ttz62hTrZgg
176,nickjr,"Animación, Juguetes",27800000.0,Unknown,109200.0,191.0,0.0,http://youtube.com/channel/UCUe6ZpY6TJ0no8jI4l2iLxw
177,CrazyXYZ,,27800000.0,India,4200000.0,284100.0,8600.0,http://youtube.com/channel/UCebC4x5l2-PQxg46Ucv9CsA
178,DanTDM,"Animación, Videojuegos",27800000.0,Estados Unidos,3500000.0,285000.0,52500.0,http://youtube.com/channel/UCS5Oz6CHmeoF7vSad0qqXfw
179,wizkhalifa,Música y baile,27800000.0,Estados Unidos,87400.0,4100.0,305.0,http://youtube.com/channel/UCVp3nfGRxmMadNDuVbJSk8A
180,brentrivera,"Videojuegos, Humor",27600000.0,Estados Unidos,6400000.0,154100.0,5000.0,http://youtube.com/channel/UC56D-IHcUvLVFTX_8NpQMXg
181,NichLmao,Vlogs diarios,27500000.0,Estados Unidos,1500000.0,85800.0,1600.0,http://youtube.com/channel/UC6VAIqNQBc7ggiqvsOHOBqw
182,GoldminesBollywood,,27300000.0,India,8900.0,62.0,2.0,http://youtube.com/channel/UCOF23vGxkbhN4wl7ROrgXsA
